"Block","Section","Indicator","Value","Rank (states/UTs)","Reference Period","Source","Comments"
"A","A1 - Geography","Capital city","Hyderabad","N/A","N/A","telangana.gov.in",""
"A","A1 - Geography","Area (sq km)","112077","11th","Current","telangana.gov.in","Rank 1 = largest"
"A","A1 - Geography","No. of Districts","33","N/A","Post-2019 reorganisation","telangana.gov.in","Expanded from 10 at state formation 2014"
"A","A1 - Geography","No. of Revenue Mandals","621","N/A","2024-25","Socio-Economic Outlook 2025 - telangana.gov.in",""
"A","A1 - Geography","No. of Gram Panchayats","12941","N/A","2024-25","Socio-Economic Outlook 2025 - telangana.gov.in",""
"A","A1 - Geography","No. of Revenue Villages","10434 (inhabited: 9834)","N/A","Census 2011","censusindia.gov.in",""
"A","A1 - Geography","No. of Municipalities / ULBs","73 approx","N/A","Post-2016 estimate","State records","Count changed with district reorganisation"
"A","A1 - Geography","No. of Assembly Constituencies","119","N/A","ECI delimitation","eci.gov.in","19 SC reserved; 12 ST reserved"
"A","A1 - Geography","No. of Lok Sabha seats","17","N/A","ECI","eci.gov.in",""
"A","A2 - Political Context","Ruling party","Indian National Congress (INC)","N/A","December 2023 to present","cm.telangana.gov.in","Won 64/119 seats in November 2023 elections"
"A","A2 - Political Context","Chief Minister","A. Revanth Reddy","N/A","7 December 2023","cm.telangana.gov.in",""
"A","A2 - Political Context","Date CM assumed office","7 December 2023","N/A","N/A","cm.telangana.gov.in",""
"A","A2 - Political Context","CM Economic / Advisory Council","[UNCONFIRMED] No formal EAC constituted as of May 2025","N/A","May 2025","Search confirmed no gazette notification",""
"A","A3 - Cabinet (as of 11 June 2025)","CM - A. Revanth Reddy","GAD | Home | MA&UD | Commercial Taxes | Education | Law | Public Enterprises","N/A","11 June 2025","scribd.com/document/875141337/Tg-Cabinet-Ministers-Latest",""
"A","A3 - Cabinet (as of 11 June 2025)","Dy CM - Batti Vikramarka Mallu","Finance & Planning | Energy","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Nalamada Uttam Kumar Reddy","Irrigation & CAD | Food & Civil Supplies","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Duddilla Sridhar Babu","IT & Electronics | Industries & Commerce | Legislative Affairs","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Ponguleti Srinivas Reddy","Revenue | Housing | Information & PR","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Tummala Nageshwara Rao","Agriculture | Marketing | Co-operation | Handlooms & Textiles","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Ponnam Prabhakar","Transport | BC Welfare","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Konda Surekha","Environment & Forests | Endowments","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Danasari Anasuya Seethakka","Panchayat Raj & Rural Development | Women & Child Welfare","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Jupally Krishna Rao","Prohibition & Excise | Tourism & Culture | Archaeology","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","C. Damodar Rajanarasimha","Health | Medical & Family Welfare | Science & Technology","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","Komatireddy Venkat Reddy","Roads & Buildings | Cinematography","N/A","11 June 2025","scribd.com/document/875141337",""
"A","A3 - Cabinet (as of 11 June 2025)","G. Vivek Venkatswamy","Labour | Employment | Training & Factories | Mines & Geology","N/A","11 June 2025","newsonair.gov.in; scribd.com/document/875141337","Inducted 8 June 2025"
"A","A3 - Cabinet (as of 11 June 2025)","Adluri Laxman Kumar","SC Development | Tribal Welfare | Minorities Welfare | PwD/Senior Citizens/Transgender","N/A","11 June 2025","newsonair.gov.in; siasat.com","Inducted 8 June 2025"
"A","A3 - Cabinet (as of 11 June 2025)","Vakiti Srihari","Animal Husbandry | Dairy Development & Fisheries | Sports & Youth Services","N/A","11 June 2025","newsonair.gov.in; scribd.com/document/875141337","Inducted 8 June 2025"
"A","A4 - Key Secretaries","Chief Secretary","K. Ramakrishna Rao (IAS 1991 TG cadre)","N/A","From 1 May 2025","newsonair.gov.in; thesecretariat.in","Succeeded A. Santhi Kumari on her superannuation; also holds additional charge of Finance"
"A","A4 - Key Secretaries","Pr. Secretary - Finance","Sandeep Kumar Sultania (IAS 1998)","N/A","From 12 May 2025","egov.eletsonline.com/2025/05/sandeep-kumar-sultania-appointed-as-new-finance-secretary-of-telangana","Also holds additional charge of Planning and PR&RD"
"A","A4 - Key Secretaries","Pr. Secretary - Planning","Sandeep Kumar Sultania (IAS 1998) - additional charge","N/A","From 12 May 2025","egov.eletsonline.com/2025/05/sandeep-kumar-sultania-appointed-as-new-finance-secretary-of-telangana","Holds Finance Planning and PR&RD simultaneously"
"A","A4 - Key Secretaries","Secretary - Health & Family Welfare","Dr. Christina Z. Chongthu (IAS)","N/A","2025","hyderabadstories.com/bureaucrats/christina-z-chongthu; health.telangana.gov.in","Confirmed in Deccan Chronicle Feb 2025 news report"
"A","A4 - Key Secretaries","Secretary - School Education","Dr. Yogita Rana (IAS)","N/A","2025","schooledu.telangana.gov.in/contactus; htsyndication.com June 2025","Confirmed chairing Intermediate review meeting June 2025"
"A","A4 - Key Secretaries","Pr. Secretary - WD & CW","[UNCONFIRMED]","N/A","N/A","telangana.gov.in/departments/women-and-child-development","Portfolio under Minister Danasari Anasuya Seethakka"
"A","A4 - Key Secretaries","Mission Director / DG - NHM","[UNCONFIRMED]","N/A","N/A","nhm.gov.in",""
"B","B1 - Demography","Population","35003674 (35.0 million)","12th","Census 2011","censusindia.gov.in","Rank 1 = most populous; 2021 census not released"
"B","B1 - Demography","Projected Population","approx. 4.0 to 4.2 crore","[UNCONFIRMED]","2024-25 estimate","Caste survey 2024 covered 3.54 cr (96.9%)","No official MoSPI projection confirmed"
"B","B1 - Demography","Population Density (per sq km)","312","N/A","Census 2011","censusindia.gov.in","Rank 1 = highest"
"B","B1 - Demography","Urban Population (%)","38.88%","N/A","Census 2011","censusindia.gov.in",""
"B","B1 - Demography","HHs in kuccha houses (%)","[UNCONFIRMED]","N/A","Census 2011 Housing Tables (HH-6 series)","censusindia.gov.in","Requires Census Housing Tables direct download"
"B","B1 - Demography","SC Population (%)","15.45%","N/A","Census 2011","censusindia.gov.in",""
"B","B1 - Demography","ST Population (%)","9.08%","N/A","Census 2011","censusindia.gov.in",""
"B","B1 - Demography","Sex Ratio (females per 1000 males)","988","N/A","Census 2011","censusindia.gov.in","State average; sex ratio at birth = 894 (NFHS-5)"
"B","B2 - Output & Income","GSDP - current prices (Rs crore)","1961701 (projected 2026-27)","8th","2026-27 projection","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Rank 1 = largest; 2024-25: Rs 1612579 crore"
"B","B2 - Output & Income","GSDP Growth Rate - constant prices (%)","6.8%","[UNCONFIRMED rank]","2024-25","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","National GDP growth 6.5% in 2024-25; 10% projected growth in 2026-27"
"B","B2 - Output & Income","GSDP per Capita - current prices (Rs)","420347","5th","2024-25","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Rank 1 = highest; national avg Rs 234859; 1.8x national average"
"B","B2 - Output & Income","GSDP per Capita (USD)","approx. USD 5000","5th","2024-25","Derived at approx. Rs 84/USD","Approximate"
"B","B2 - Output & Income","Primary sector share of GSVA (%)","17%","N/A","2024-25","prsindia.org/budgets/states/telangana-budget-analysis-2026-27",""
